Position-Anforderungsspezifikation,ReqID,Komponente,Schablone,Variante,Gruppe,Tag,Stakeholder,Gruppe (ALT),Tag (ALT),Anforderung,Trace auf ReqID,Anmerkung,Status,Aktuell / Zukunft / Ignore,Release,Req-Key (ALT)
3.1 Funktionale Anforderungen,79,HARMONY,ESFA,Benutzeranforderung,Schablonenverwaltung,Schablonensatz löschen,Schablonenverwalter,Schablonen verwalten,Eigener Zugriff,"Falls ein Schablonenverwalter einen Schablonensatz selbst angelegt hat, muss das System HARMONY dem Schablonenverwalter ermöglichen, eine Schablone aus diesem Schablonensatz zu löschen.",51,,Umgesetzt,A,1,A-2-35
3.1 Funktionale Anforderungen,442,HARMONY,ESFA,Benutzeranforderung,Schablonenverwaltung ,Schablonen importieren,Schablonenverwalter,Schablonen verwalten ,Aktuelle PARIS-Version importieren,"Wenn ein Schablonenverwalter die Schablonensatzverwaltung öffnet, muss das System HARMONY dem Anwender ermöglichen, die aktuelle Fassung der PARIS-Schablonen zu importieren, damit der Anwender mit minimalem Aufwand Anforderungen nach PARIS formulieren kann.",,,Umgesetzt,A,1,A-2-61
3.1 Funktionale Anforderungen,427,HARMONY,ESFA,Benutzeranforderung,Systemkonfiguration,HARMONY administrieren,HARMONY-Administrator,Systemkonfiguration,Einstellen lokale Ausgabe und serverseitige Speicherung,"Das System HARMONY wird es dem HARMONY-Adminstrator ermöglichen, entweder die serverseitige Speicherung von Anforderungen oder die lokale Ausgabe von Anforderungen einzustellen, damit das System HARMONY in unterschiedlichen Situationen eingesetzt werden kann.",,,Fertig zur Umsetzung,Z,,B-1-20
3.1 Funktionale Anforderungen,428,HARMONY,ESFA,Benutzeranforderung,Systemkonfiguration,HARMONY administrieren,HARMONY-Administrator,Systemkonfiguration,Einstellen Einzelanwender oder Teamlösung,"Das System HARMONY wird es dem HARMONY-Adminstrator ermöglichen, entweder HARMONY als Einzelanwender oder als Teamlsöung einzusetzen, damit das System HARMONY in unterschiedlichen Situationen eingesetzt werden kann.",,,Fertig zur Umsetzung,Z,,B-1-21
3.2 Qualitätsanforderungen,288,HARMONY,ESQUA,,Portierbarkeit,Barrierefreiheit,Entwickler,Portierbarkeit,Übersetzbarkeit,"Qualitätsindikator: Flexibilität in der Übersetzbarkeit der Anzeigesprache der Anwendung.
Messverfahren: Überprüfung des Designs und der Implementierung der Anwendung zur Unterstützung verschiedener Sprachen durch Übersetzungsdateien.
Maßeinheit: Fähigkeit des Systems, Übersetzungsdateien für verschiedene Sprachen zu unterstützen, mit Ausnahme von Sprachen, die von rechts nach links geschrieben werden.
Ziel: Die Anwendung sollte in der Lage sein, durch das Hinterlegen geeigneter Übersetzungsdateien eine Vielzahl von Sprachen zu unterstützen, jedoch mit der Einschränkung, dass Sprachen, die von rechts nach links geschrieben werden, nicht unterstützt werden. Verwendet die Übersetzungsdatei ein Alphabet mit Zeichen, die zwar nicht im deutschen Alphabet, jedoch im UTF-8 Standard für Zeichenkodierung enthalten sind, kann die korrekte Übersetzung der Anwendung nicht garantiert werden, sie sollte jedoch funktionieren.",284,"Hierzu ist vielleicht noch wichtig anzumerken, dass die Übersetzbarkeit der Anwendung bei einem Prototypen natürlich eigentlich keine Rolle spielt. Sie ist hier jedoch trotzdem als Qualitätskriterium aufgeführt wird, weil die nachträgliche, systemübergreifende Übersetzung einer Anwendung sehr aufwändig ist. Hingegen ist es einfacher die Anwendung gleich in mehreren Sprachen und mit der Möglichkeit zur Übersetzung wachsen zu lassen. Übersetzbarkeit ist eine grundlegende Funktionalität, die in die Architektur der Ausgabe eingearbeitet sein muss.",Umgesetzt,A,1,C-3-1.4
3.2 Qualitätsanforderungen,333,HARMONY,ESQUA,,Portierbarkeit,Dokumentation,Anwendungsbetreiber,Portierbarkeit,Dokumentation Installation und Betrieb der Anwendung,"Qualitätsindikator: Dokumentation zu Installation und Betrieb der Anwendung. 
Messverfahren: Untersuchen, ob die Projektdateien von HARMONY Dokumentation, z.B. in Form von Markdown-Dateien oder Kommentaren in Konfigurationsdateien enthalten, die Funktionsweisen, Besonderheiten und Voraussetzungen der Installation und des Betriebs der Anwendung beschreiben. 
Maßeinheit: Wahrheitswert (True/False) 
Ziel: Die Projektdateien von HARMONY sollten Dokumentation zur Installation und zum Betrieb der Anwendung beinhalten. Die Dokumentation sollte erklären, wie Installation und Betrieb von HARMONY funktionieren und welche Besonderheiten und Voraussetzungen zu beachten sind. Durch die Dokumentation sollen Installation und Betrieb der Anwendung vereinfacht werden.",284,,Umgesetzt,A,1,C-3-1.8
3.2 Qualitätsanforderungen,330,HARMONY,ESQUA,,Portierbarkeit,HARMONY betreiben,Anwendungsbetreiber,Portierbarkeit,Einfach installierbar,"Qualitätsindikator: Einfache Installierbarkeit der Anwendung. 
Messverfahren: Die Anwendung muss kompiliert und mit den standard Konfigurationsdateien zusammen auf einen Server kopiert werden. Untersuchen, ob die Anwendung alleine mit dem kompilierten Hauptprogramm und den standard Konfigurationsdateien gestartet werden kann. 
Maßeinheit: Wahrheitswert (True/False) 
Ziel: Die Anwendung sollte nach dem Kopieren des ausführbaren Hauptprogrammes und den standard Konfigurationsdateien gestartet werden können.",284,,Umgesetzt,A,1,C-3-1.5
3.2 Qualitätsanforderungen,331,HARMONY,ESQUA,,Portierbarkeit,HARMONY betreiben,Anwendungsbetreiber,Portierbarkeit,Einfacher Betrieb mittels Dockerfile,"Qualitätsindikator: Bereitstellung einer Container-Konfigurationsdatei (Dockerfile), zum Betrieb der Anwendung in einem (Docker-)Container. Messverfahren: Untersuchen, ob in den Projektdateien von HARMONY eine Konfigurationsdatei existiert, die genutzt werden kann, um die Anwendung zu betreiben. Maßeinheit: Wahrheitswert (True/False) Ziel: In den Projektdateien von HARMONY sollte eine Container-Konfigurationsdatei vorzufinden sein, aus der ein (Docker-)Image erzeugt werden kann, welches dann genutzt werden kann, um die Anwendung einfach und isoliert betreiben zu können.",284,,Umgesetzt,A,1,C-3-1.6
3.2 Qualitätsanforderungen,332,HARMONY,ESQUA,,Portierbarkeit,HARMONY betreiben,Anwendungsbetreiber,Portierbarkeit,Einfacher Betrieb in einer Umgebung mittels Docker-Compose-Datei,"Qualitätsindikator: Bereitstellung einer Docker-Compose-Konfigurationsdatei für den einfachen Betrieb von HARMONY in einer vorkonfigurierten Umgebung, inklusive aller notwendigen Services.
Messverfahren: Überprüfung, ob die Projektdateien von HARMONY eine Docker-Compose-Konfigurationsdatei enthalten. Diese Datei soll es ermöglichen, HARMONY basierend auf einer Dockerfile zusammen mit den erforderlichen Services (wie z.B. einer Datenbank) in einer vorkonfigurierten Umgebung zu betreiben.
Maßeinheit: Wahrheitswert (True/False)
Ziel: Die Projektdateien von HARMONY sollten eine Docker-Compose-Konfigurationsdatei beinhalten, die den Betrieb von HARMONY zusammen mit allen erforderlichen Services in einer vorkonfigurierten Umgebung ermöglicht.",284,,Umgesetzt,A,1,C-3-1.7
3.2 Qualitätsanforderungen,337,HARMONY,ESQUA,,Portierbarkeit,HARMONY betreiben,Anwendungsbetreiber,Portierbarkeit,Standardisierte Bereitstellung,"Qualitätsindikator: Bereitstellung und Betrieb mit Hilfe etablierter Technologien. 
Messverfahren: Untersuchen, ob die von HARMONY verwendeten Technologien für die Bereitstellung und den Betrieb der Anwendung im Bereich der Softwareentwicklung und des Deployments von Softwareanwendungen als etabliert gelten. Hierzu sollten aktuelle Umfragen, Blog-Beiträge und Hosting-Trends überprüft werden. 
Maßeinheit: Wahrheitswert (True/False) 
Ziel: HARMONY sollte auf etablierte Technologien für den Betrieb und die Bereitstellung der Anwendung setzen.",284,,Umgesetzt,A,1,C-3-1.9
3.2 Qualitätsanforderungen,284,HARMONY,ESQUA,,Portierbarkeit,HARMONY betreiben,Entwickler,Portierbarkeit,Portierbarkeit,"Das System HARMONY muss das Qualitätsmerkmal besitzen, portierbar und einfach installierbar zu sein, damit es auf verschiedenen Servern mit unterschiedlichen Betriebssytemen in variablen Umgebungen betrieben werden kann.","285, 286, 287, 288, 330, 331, 332, 333, 337",,Umgesetzt,A,1,C-3-1
3.2 Qualitätsanforderungen,285,HARMONY,ESQUA,,Portierbarkeit,HARMONY betreiben,Entwickler,Portierbarkeit,Kompilierte Binary,"Qualitätsindikator: Das Hauptprogramm des Systems ist eine ausführbare, kompilierte Datei.
Messverfahren: Der Programmcode muss kompiliert werden und die Ausgabedateien untersucht werden.
Maßeinheit: Anzahl der kompilierten ausführbaren Dateien.
Ziel: Das Kompilieren des Hauptprogramms der Anwendung gibt eine Datei aus, die als Programm ausgeführt werden kann.",284,,Umgesetzt,A,1,C-3-1.1
3.2 Qualitätsanforderungen,286,HARMONY,ESQUA,,Portierbarkeit,HARMONY betreiben,Entwickler,Portierbarkeit,Kompatibilität Betriebssysteme,"Qualitätsindikator: Kompatibilität und Installierbarkeit auf Windows 11 und Ubuntu. 
Messverfahren: Durchführung von Testinstallationen und -ausführungen auf einer Windows-Version und Ubuntu.
Maßeinheit: Erfolgreiche Installation und Ausführung auf Windows und Ubuntu.
Ziel: Das Programm sollte erfolgreich auf einer Windows-Version und Ubuntu installiert und ausgeführt werden können.",284,,Umgesetzt,A,1,C-3-1.2
3.2 Qualitätsanforderungen,287,HARMONY,ESQUA,,Portierbarkeit,Konfiguration,Entwickler,Portierbarkeit,Konfigurationsdateien,"Qualitätsindikator: Flexibilität der Systemkonfiguration durch Konfigurationsdateien und Umgebungsvariablen.
Messverfahren: Überprüfung der Projektstruktur und des Programmcodes, um festzustellen, welche Systemkomponenten durch Konfigurationsdateien und Umgebungsvariablen konfigurierbar sind.
Maßeinheit: Anzahl der Systemkomponenten, die durch Konfigurationsdateien und Umgebungsvariablen konfigurierbar sind.
Ziel: Das System sollte eine umfassende Konfigurierbarkeit durch Konfigurationsdateien und Umgebungsvariablen bieten, um eine flexible Anpassung an unterschiedliche Betriebsumgebungen und spezifische Anforderungen zu ermöglichen. Wichtige Systemfunktionen und -parameter sollten so konfigurierbar sein, und jede konfigurierbare Komponente sollte klar im Code dokumentiert sein.",284,,Umgesetzt,A,1,C-3-1.3
3.2 Qualitätsanforderungen,298,"HARMONY, EIFFEL",ESQUA,,Bedienbarkeit,Barrierefreiheit,Anwender,Benutzerfreundlich,Sinnvolle Fehlermeldungen,"Qualitätsindikator: Sinnvolle, nicht-generische Fehlermeldungen. 
Messverfahren: Untersuchen, wie viele Fehlermeldungen in der deutschsprachigen Übersetzungsdatei des Systems existieren.
Maßeinheit: Anzahl an Fehlermeldungen.
Ziel: Das System sollte mehrere inhaltlich verschiedene Fehlermeldungen bereitstellen, ein absoluter Wert lässt sich nicht festlegen. Zusätzlich sollten die Fehlermeldungen informativ sein und das aufgetretene Problem genauer erklären. Einige wenige Fehlermeldungen, die den Anwender einzig über das Auftreten eines unerwarteten Fehlers in Kenntnis setzen, sind unzureichend.",297,"Hier sollen generische Fehlermeldungen, wie ""Ein Problem ist aufgetreten"" verhindert bzw. minimiert werden. Wenn ein Fehler erwartbar ist, z.B. weil Benutzereingaben in einem bestimmten Format verarbeitet werden sollen, sollte die Fehlermeldung einen Hinweis darauf geben, was tatsächlich in der Anwendung nicht funktioniert hat und ggf. was der Anwender tun kann, um den Fehler zu beheben.",Umgesetzt,A,1,C-5-1.1
3.2 Qualitätsanforderungen,297,"HARMONY, EIFFEL",ESQUA,,Bedienbarkeit,Benutzerfreundlichkeit,Anwender,Benutzerfreundlich,Benutzerfreundlich,"Das System HARMONY muss das Qualitätsmerkmal besitzen benutzerfreundlich zu sein, damit es Anwender in der Anforderungserfassung unterstüzt.","298, 299",,Umgesetzt,A,1,C-5-1
3.2 Qualitätsanforderungen,278,"HARMONY, EIFFEL",ESQUA,,Performanz,Caching,Entwickler,Performant,Caching,"Qualitätsindikator: Caching häufig verwendeter Komponenten.
Messverfahren: Analyse des Codes und der Datenstrukturen zur Identifikation von Komponenten, die potenziell für Caching geeignet sind.
Maßeinheit: Anzahl der identifizierten Komponenten, die erfolgreich gecacht werden.
Ziel: Es sollte eine möglichst hohe Anzahl der identifizierten, häufig wiederverwendeten Komponenten gecacht werden, um die Performanz zu steigern und Ressourcen zu sparen. Für jede identifizierte, aber nicht gecachte Komponente sollte begründet werden, warum kein Caching umgesetzt wird.",273,,Umgesetzt,A,1,C-2-1.5
3.2 Qualitätsanforderungen,276,"HARMONY, EIFFEL",ESQUA,,Performanz,Datenbank anbinden,Entwickler,Performant,DBMS,"Qualitätsindikator: Anbindung eines Open Source DBMS.
Messverfahren: Überprüfung der Lizenz des angebundenen DBMS.
Maßeinheit: Typ der Open-Source-Lizenz, insbesondere Kompatibilität mit der MIT-Lizenz.
Ziel: Das angebundene DBMS sollte unter einer Open-Source-Lizenz stehen, die vollständig kompatibel mit der MIT-Lizenz des HARMONY-Systems ist, um eine reibungslose Integration und rechtliche Konformität zu gewährleisten.",273,"Dieser Punkt lässt sich auf Verständlichkeit, Sicherheit, Wartbarkeit und Performant anwenden.",Umgesetzt,A,1,C-2-1.3
3.2 Qualitätsanforderungen,280,"HARMONY, EIFFEL",ESQUA,,Performanz,Datenbank anbinden,Entwickler,Performant,DBMS,"Qualitätsindikator: Globale Nutzung des DBMS. 
Messverfahren: Überprüfung des DBMS gegen aktuelle Erhebungen oder Rankings zur weltweiten Nutzung von Datenbankmanagementsystemen. 
Maßeinheit: Platzierung des DBMS in diesen Erhebungen oder Rankings. 
Ziel: Das angebundene DBMS sollte gemäß mindestens einer aktuellen, anerkannten Erhebung unter den 10 meistgenutzten Datenbankmanagementsystemen weltweit sein, um seine Verbreitung und Akzeptanz in der Branche sicherzustellen.",273,,Umgesetzt,A,1,C-2-1.7
3.2 Qualitätsanforderungen,281,"HARMONY, EIFFEL",ESQUA,,Performanz,Datenbank anbinden,Entwickler,Performant,DBMS,"Qualitätsindikator: Abstrahierte Anbindung der Datenbank über Schnittstellen.
Messverfahren: Überprüfung der Architektur und des Codes des Systems, um sicherzustellen, dass die Kommunikation mit der Datenbank über definierte Schnittstellen erfolgt und nicht direkt mit den Implementierungsdetails der Datenhaltung.
Maßeinheit: Anzahl der Schnittstellen, die für die Kommunikation mit der Datenbank verwendet werden.
Ziel: Das System HARMONY sollte für alle Datenbankinteraktionen abstrahierte Schnittstellen verwenden, um eine Entkopplung von der direkten Datenbankimplementierung zu gewährleisten. Dies sichert die Flexibilität in Bezug auf zukünftige Änderungen oder Erweiterungen der Datenbanktechnologie und erleichtert die Wartbarkeit des Systems.",273,,Umgesetzt,A,1,C-2-1.8
3.2 Qualitätsanforderungen,273,"HARMONY, EIFFEL",ESQUA,,Performanz,HARMONY betreiben,Anwender,Performant,Performant,"Das System HARMONY muss das Qualitätsmerkmal besitzen, skalierbar und performant zu sein, damit es von mehreren Anwendern gleichzeitig benutzt werden kann und der Funktionsumfang weiterhin wachsen kann.","274, 275, 276, 277, 278, 279, 280, 281","Hier ist Skalierbar und Performanz zusammengefasst, da die beiden eng miteinander verbunden sind. Maßnahmen zur Verbesserung der Performanz sorgen i.d.R. auch dafür, dass die Anwendung besser skaliert. Maßnahmen zur Verbesserung der Skalierbarkeit sorgen im Umkehrschluss jedoch nicht immer für die Verbesserung der Performanz. 

Insgesamt scheint es mir jedoch sinnvoll die beiden im Kontext dieses Projektes gemeinsam zu betrachten.",Umgesetzt,A,1,C-2-1
3.2 Qualitätsanforderungen,275,"HARMONY, EIFFEL",ESQUA,,Performanz,HARMONY betreiben,Anwender,Performant,Parallele Bearbeitung (Threads),"Qualitätsindikator: Parallele Bearbeitung von Anfragen (Threads).
Messverfahren: Das System muss gestartet und benutzt werden. Dabei muss der laufende Prozess und die laufenden Ausführungsfäden des Prozesses (Threads) mit einem Debug-Tool untersucht werden.
Maßeinheit: Anzahl der Threads.
Ziel: Das System sollte Anfragen in eigenen Ausführungsfäden des Prozesses ausführen, um den Hauptprozess nicht mit jeder Anfrage zu blockieren. Dadurch sollte das System zur parallelen Abarbeitung von Abfragen in der Lage sein.",273,,Umgesetzt,A,1,C-2-1.2
3.2 Qualitätsanforderungen,277,"HARMONY, EIFFEL",ESQUA,,Performanz,HARMONY betreiben,Entwickler,Performant,Stateless,"Qualitätsindikator: Keine anwenderspezifischen Zustände im Speicher des laufenden Prozesses. (Stateless)
Messverfahren: Untersuchen des Codes und der vorhandenen Datenstrukturen.
Maßeinheit: Anzahl anwenderspezifischer Zustände.
Ziel: Im System sollten keine anwenderspezifischen Zustände, wie zum Beispiel Sessions, im Speicher des laufenden Prozesses abgelegt werden. Das System sollte Stateless sein.",273,"Stateless ist vor allem wichtig, da es eine bestimmte Art von Problemen und schwierig zu debuggende Fehlern im Code verhindert und erlaubt, dass die Anwendung relativ problemlos parallel auf mehreren Servern laufen kann.",Umgesetzt,A,1,C-2-1.4
3.2 Qualitätsanforderungen,279,"HARMONY, EIFFEL",ESQUA,,Performanz,Initiales Laden,Entwickler,Performant,Initiales Laden,"Qualitätsindikator: Laden von Konfigurationen und Übersetzungen bei initialem Start.
Messverfahren: Untersuchen des Codes, der die Konfigurationen und Übersetzungen lädt und verwendet.
Maßeinheit: Zeitpunkt in der Programmausführung zu dem Konfigurationen/Übersetzungen geladen werden.
Ziel: Beim initialen Start der Anwendung sollte das System nach technischer Möglichkeit alle Konfigurationen und Übersetzungen, die es benötigt, laden.",273,Um das System mit diesem Aufwand nicht bei der aktiven Ausführung von domänenspezifischen Prozessen (z.B. Anforderungsprüfung) zu belasten.,Umgesetzt,A,1,C-2-1.6
3.2 Qualitätsanforderungen,274,"HARMONY, EIFFEL",ESQUA,,Performanz,Laufender Prozess,Anwender,Performant,Laufender Prozess,"Qualitätsindikator: Programmausführung als laufender Prozess.
Messverfahren: Das System muss gestartet und benutzt werden. Dabei müssen die laufenden Prozesse mit Debug-Tools untersucht werden.
Maßeinheit: Anzahl der Prozesse während der Programmausführung.
Ziel: Während der Benutzung des Systems sollte ein Prozess durchgehend ausgeführt werden. Das System sollte nicht für jede Anfrage einen neuen Prozess starten.",273,"Programmausführung mit State, anders als z.B. PHP, wo für jede Anfrage ein neuer Prozess gestartet wird.",Umgesetzt,A,1,C-2-1.1
3.2 Qualitätsanforderungen,293,"HARMONY, EIFFEL",ESQUA,,Sicherheit,Anmeldung über Dienste (OAuth),IT-Security,Sicherheit,Anmeldung über Dienste (OAuth),"Das System HARMONY muss das Qualitätsmerkmal besitzen, eine sichere Benutzeranmeldung und -registrierung bereitzustellen, damit Anwender eindeutig vom System identifiziert werden können.",294,,Umgesetzt,A,1,C-4-3
3.2 Qualitätsanforderungen,294,"HARMONY, EIFFEL",ESQUA,,Sicherheit,Anmeldung über Dienste (OAuth),IT-Security,Sicherheit,Anmeldung über Dienste (OAuth),"Qualitätsindikator: Arten der Registrierung und Anmeldung. 
Messverfahren: Untersuchen des Registrierungs- und Anmeldeprozesses im Programmcode, zählen der verschiedenen Arten und Schnittstellen zum Anmelden und Registrieren. 
Maßeinheit: Anzahl an Anmelde- und Registrierungsarten. 
Ziel: Die Anmeldung und Registrierung in der Anwendung soll ausschließlich über Diensteanbieter mittels der OAuth 2.0 Schnittstelle erfolgen. Dadurch ist sichergestellt, dass das System selbst keine Zugangsdaten verwalten und sicher speichern muss. Zusätzlich wird die Verantwortung zur sicheren Identifizierung des Anwenders an den Diensteanbieter abgetreten.",293,,Umgesetzt,A,1,C-4-3.1
3.2 Qualitätsanforderungen,295,"HARMONY, EIFFEL",ESQUA,,Sicherheit,Data Protection by Design,IT-Security,Sicherheit,Data Protection by Design,"Das System HARMONY muss das Qualitätsmerkmal besitzen, Daten nur im notwendigen Umfang zu erheben, um die Prinzipien des Datenschutzes durch Technikgestaltung („Data Protection by Design“) zu erfüllen. ",296,,Umgesetzt,A,1,C-4-4
3.2 Qualitätsanforderungen,296,"HARMONY, EIFFEL",ESQUA,,Sicherheit,Data Protection by Design,IT-Security,Sicherheit,Data Protection by Design,"Qualitätsindikator: Datenminimierung und Umfang der Datenerfassung.
Messverfahren: Untersuchen der Erfassung personenbezogener Daten im Programmcode.
Maßeinheit: Verhältnis der erfassten personenbezogenen Daten zu den für die Funktionen des Systems notwendigen Daten.
Ziel: Das System sollte nur die personenbezogenen Daten vom Anwender erfassen, die für die Funktionen des Systems notwendig sind, um den Datenschutz der Anwender zu maximieren und Datenschutzvorschriften einzuhalten.",295,,Umgesetzt,A,1,C-4-4.1
3.2 Qualitätsanforderungen,291,"HARMONY, EIFFEL",ESQUA,,Sicherheit,HARMONY betreiben,IT-Security,Sicherheit,Validierung von Eingabedaten,"Das System HARMONY muss das Qualitätsmerkmal besitzen, Eingabedaten zu validieren, damit nur valide Eingaben vom System verarbeitet werden und es nicht zu unerwarteten Sicherheitslücken oder Fehlern in der Anwendung durch nicht-überprüfte oder invalide Daten kommt.",292,,Umgesetzt,A,1,C-4-2
3.2 Qualitätsanforderungen,292,"HARMONY, EIFFEL",ESQUA,,Sicherheit,HARMONY betreiben,IT-Security,Sicherheit,Validierung von Eingabedaten,"Qualitätsindikator: Validierung von Benutzereingaben.
Messverfahren: Untersuchen des Programmcodes, ob an allen Stellen im Programmcode, an denen Benutzereingaben verarbeitet werden, zum Beispiel durch die Verwendung von Formularen, die getätigten Benutzereingaben validiert und geprüft werden.
Maßeinheit: Anzahl an nicht-validierten oder ungeprüften Benutzereingaben.
Ziel: Jede Benutzereingabe sollte validiert und geprüft werden. Das System sollte nur solche Benutzereingaben akzeptieren, die es erwartet, ansonsten sollte dem Anwender ein Fehler angezeigt werden.",291,,Umgesetzt,A,1,C-4-2.1
3.2 Qualitätsanforderungen,289,"HARMONY, EIFFEL",ESQUA,,Sicherheit,Zugriff verweigern,IT-Security,Sicherheit,Kein Zugriff für unbefugte Personen,"Das System HARMONY muss das Qualitätsmerkmal besitzen, unbefugten Personen keinen Zugriff auf Daten der Anwendung zu gewähren, weil Informationen wie Schablonen oder Benutzerinformationen unternehmens-, projekt- oder sicherheitskritisch sein können.",290,"Perspektivisch wachsende Relevanz für HARMONY, da Anforderungen enorm unternehmenskritisch sein können und ggf. wichtige/sicherheitskritische Projekte beschreiben.

Angepasst, siehe Anmerkung OL. Zusätzlich: Aktuell werden noch gar keine Anforderungen in der DB gespeichert. Trotzdem sollten alle anderen Daten auch sicher vor dem unbefugten Zugriff sein.",Umgesetzt,A,1,C-4-1
3.2 Qualitätsanforderungen,290,"HARMONY, EIFFEL",ESQUA,,Sicherheit,Zugriff verweigern,IT-Security,Sicherheit,Kein Zugriff für unbefugte Personen,"Qualitätsindikator: Kein unbefugter Zugriff auf Daten aus dem System.
Messverfahren: Untersuchen, ob es möglich ist, ohne Befugnis und Zugangsdaten zur Anwendung oder der Datenhaltung, Zugriff auf Daten zu bekommen.
Maßeinheit: Wahrheitswert (True/False)
Ziel: Es darf nicht möglich sein, ohne Zugriffsrechte oder Befugnis, auf die Daten der Anwendung zuzugreifen. Sowohl die Datenhaltung, als auch die Anwendung müssen vor unbefugtem Zugriff abgesichert sein.",289,,Umgesetzt,A,1,C-4-1.1
3.2 Qualitätsanforderungen,311,"HARMONY, EIFFEL",ESQUA,,Wartbarkeit,Datenbank anbinden,Entwickler,Wartbarkeit,Open Source DBMS,"Qualitätsindikator: Anbindung eines Open Source DBMS.
Messverfahren: Überprüfung der Lizenz des angebundenen DBMS.
Maßeinheit: Typ der Open-Source-Lizenz, insbesondere Kompatibilität mit der MIT-Lizenz.
Ziel: Das angebundene DBMS sollte unter einer Open-Source-Lizenz stehen, die vollständig kompatibel mit der MIT-Lizenz des HARMONY-Systems ist, um neben der rechtlichen Konformität auch die Transparenz der Abhängigkeit zu gewährleisten.","310, 276","Übernommen von 276, da es für die Wartbarkeit auch wichtig ist.",Umgesetzt,A,1,C-1-6.1
3.2 Qualitätsanforderungen,312,"HARMONY, EIFFEL",ESQUA,,Wartbarkeit,Datenbank anbinden,Entwickler,Wartbarkeit,Verbreitetes DBMS,"Qualitätsindikator: Globale Nutzung des DBMS. 
Messverfahren: Überprüfung des DBMS gegen aktuelle Erhebungen oder Rankings zur weltweiten Nutzung von Datenbankmanagementsystemen. 
Maßeinheit: Platzierung des DBMS in diesen Erhebungen oder Rankings. 
Ziel: Das angebundene DBMS sollte gemäß mindestens einer aktuellen, anerkannten Erhebung unter den 10 meistgenutzten Datenbankmanagementsystemen weltweit sein, um seine Verbreitung und Akzeptanz in der Branche sicherzustellen.","310, 280",,Umgesetzt,A,1,C-1-6.2
3.2 Qualitätsanforderungen,313,"HARMONY, EIFFEL",ESQUA,,Wartbarkeit,Datenbank anbinden,Entwickler,Wartbarkeit,Abstrahierte Anbindung DBMS,"Qualitätsindikator: Abstrahierte Anbindung der Datenbank über Schnittstellen.
Messverfahren: Überprüfung der Architektur und des Codes des Systems, um sicherzustellen, dass die Kommunikation mit der Datenbank über definierte Schnittstellen erfolgt und nicht direkt mit den Implementierungsdetails der Datenhaltung.
Maßeinheit: Anzahl der Schnittstellen, die für die Kommunikation mit der Datenbank verwendet werden.
Ziel: Das System HARMONY sollte für alle Datenbankinteraktionen abstrahierte Schnittstellen verwenden, um eine Entkopplung von der direkten Datenbankimplementierung zu gewährleisten. Dies sichert die Flexibilität in Bezug auf zukünftige Änderungen oder Erweiterungen der Datenbanktechnologie und erleichtert die Wartbarkeit des Systems.","310, 281",,Umgesetzt,A,1,C-1-6.3
3.2 Qualitätsanforderungen,334,"HARMONY, EIFFEL",ESQUA,,Wartbarkeit,Dokumentation,Anwendungsbetreiber,Wartbarkeit,Dokumentation,"Qualitätsindikator: Dokumentation zu Installation und Betrieb der Anwendung. 
Messverfahren: Untersuchen, ob die Projektdateien von HARMONY Dokumentation, z.B. in Form von Markdown-Dateien oder Kommentaren in Konfigurationsdateien enthalten, die Funktionsweisen, Besonderheiten und Voraussetzungen der Installation und des Betriebs der Anwendung beschreiben. 
Maßeinheit: Wahrheitswert (True/False) 
Ziel: Die Projektdateien von HARMONY sollten Dokumentation zur Installation und zum Betrieb der Anwendung beinhalten. Die Dokumentation sollte erklären, wie Installation und Betrieb von HARMONY funktionieren und welche Besonderheiten und Voraussetzungen zu beachten sind. Durch die Dokumentation sollen Installation und Betrieb der Anwendung verständlicher werden.","333, 269",,Umgesetzt,A,1,C-1-4.3
3.2 Qualitätsanforderungen,269,"HARMONY, EIFFEL",ESQUA,,Wartbarkeit,Dokumentation,Entwickler,Wartbarkeit,Dokumentation,"Das System HARMONY muss das Qualitätsmerkmal besitzen, dokumentiert zu sein, damit die Verhaltensweisen und der Code des Systems besser verständlich und langfristig besser wartbar sind.","270, 271, 334",,Umgesetzt,A,1,C-1-4
3.2 Qualitätsanforderungen,270,"HARMONY, EIFFEL",ESQUA,,Wartbarkeit,Dokumentation,Entwickler,Wartbarkeit,Dokumentation,"Qualitätsindikator: Vollständigkeit der Dokumentation für exportierten Code.
Messverfahren: Untersuchen, ob für jede exportierte Funktionen, Schnittstelle und Datenstruktur im Programmcode ein Kommentar die Verwendung und Verhaltensweise des Codes erklärt.
Maßeinheit: Wahr/Falsch
Ziel: Für jede exportierte Funktion, Schnittstelle und Datenstruktur sollte ein Kommentar im Code stehen, der die Verwendung und Verhaltensweise des Codes beschreibt. Kommentare sollten insbesondere auf komplexe Verhaltensweisen und unerwartete Besonderheiten des Codes eingehen und diese erklären.",269,,Umgesetzt,A,1,C-1-4.1
